'BPP      1'		'BPP      2'		'BPP      3'		'BPP      4'		'BPP      5'
46		47		44		42		44
1000		1000		1000		1000		1000
200         3		200         2		200         1		200         3		200         5
199         1		199         4		199         2		199         5		199         2
198         2		198         1		197         2		198         4		198         2
197         2		197         1		196         2		197         1		197         2
194         2		196         2		193         3		195         1		196         1
193         1		195         2		192         2		193         4		195         3
192         1		194         2		191         2		192         1		194         2
191         3		193         1		190         2		188         1		193         2
190         2		191         2		189         3		187         1		192         4
189         1		190         1		188         1		186         3		191         2
188         2		189         2		187         1		185         3		190         4
187         2		188         1		185         3		184         2		188         3
186         1		187         2		183         2		183         2		187         2
185         4		186         1		182         1		182         1		186         2
184         3		185         2		181         3		181         1		185         1
183         3		184         5		180         3		180         3		184         1
182         3		183         1		179         3		179         2		183         1
181         2		182         1		178         1		178         6		182         1
180         1		181         3		177         5		177         2		181         3
179         4		180         2		176         2		176         4		180         1
178         1		179         2		175         5		175         1		178         3
177         4		178         1		174         4		173         4		177         2
175         1		176         1		173         1		172         4		176         2
174         1		175         2		171         3		170         1		174         1
173         2		174         5		170         1		169         3		173         1
172         1		173         1		169         2		168         4		172         1
171         3		172         3		168         5		167         1		171         3
170         2		171         1		167         1		165         3		168         2
169         3		170         4		166         4		164         1		167         1
167         2		169         2		165         2		163         2		165         1
165         2		168         1		163         1		162         4		164         1
164         1		167         5		162         2		161         1		163         1
163         4		165         2		161         2		160         3		162         3
162         1		164         2		160         3		159         3		161         3
161         1		163         3		159         2		158         1		160         3
160         2		162         2		158         2		157         3		159         2
159         1		160         2		157         1		155         2		158         3
158         3		159         2		156         3		154         3		157         3
157         1		158         2		155         3		153         1		156         2
156         6		157         4		154         1		152         3		155         5
155         3		156         3		153         2		151         1		154         3
154         2		155         2		152         3		150         1		153         3
153         1		154         1		151         2				151         5
152         3		153         3		150         1				150         2
151         2		152         2						
150         4		151         2						
		150         2						
