Generation,Best Fitness
1,21
2,22
3,22
4,21
5,21
6,23
7,24
8,24
9,24
10,26
11,25
12,25
13,24
14,24
15,24
16,24
17,25
18,25
19,26
20,26
21,26
22,26
23,27
24,27
25,27
26,27
27,27
28,27
29,27
30,27
31,27
32,27
33,28
34,28
35,28
36,27
37,28
38,28
39,28
40,28
41,28
42,28
43,29
44,28
45,28
46,29
47,28
48,29
49,29
50,28
51,29
52,28
53,28
54,29
55,28
56,28
57,27
58,28
59,28
60,29
61,29
62,28
63,28
64,28
65,29
66,29
67,29
68,27
69,28
70,27
71,28
72,27
73,27
74,27
75,27
76,26
77,27
78,27
79,27
80,28
81,28
82,28
83,29
84,29
85,29
86,28
87,28
88,28
89,29
90,27
91,29
92,29
93,29
94,28
95,28
96,28
97,29
98,28
99,28
100,29
101,28
102,29
103,28
104,27
105,27
106,27
107,28
108,27
109,27
110,28
111,27
112,28
113,29
114,29
115,28
116,29
117,28
118,28
119,28
120,28
121,29
122,28
123,29
124,29
125,29
126,29
127,29
128,29
129,29
130,29
131,29
132,29
133,29
134,29
135,29
136,29
137,29
138,29
139,28
140,29
141,29
142,29
143,30
144,30
145,30
146,29
147,29
148,30
149,30
150,29
151,29
152,30
153,30
154,30
155,30
156,30
157,30
158,30
159,29
160,29
161,29
162,28
163,28
164,28
165,28
166,29
167,30
168,30
169,29
170,30
171,30
172,30
173,30
174,30
175,30
176,30
177,30
178,30
179,30
180,30
181,29
182,29
183,29
184,29
185,28
186,30
187,29
188,29
189,28
190,28
191,28
192,28
193,28
194,28
195,29
196,29
197,30
198,30
199,29
200,29
