Generation,Best Fitness
1,8
2,9
3,9
4,10
5,9
6,9
7,8
8,9
9,9
10,8
11,9
12,10
13,8
14,8
15,9
16,8
17,9
18,8
19,9
20,8
21,9
22,9
23,9
24,7
25,8
26,9
27,8
28,8
29,9
30,9
31,8
32,9
33,8
34,9
35,8
36,8
37,8
38,8
39,9
40,7
41,8
42,8
43,8
44,8
45,8
46,8
47,9
48,9
49,9
50,9
51,10
52,9
53,8
54,8
55,9
56,9
57,9
58,10
59,8
60,8
61,9
62,8
63,9
64,8
65,8
66,8
67,9
68,8
69,8
70,9
71,10
72,8
73,8
74,8
75,8
76,8
77,8
78,9
79,8
80,8
81,8
82,8
83,8
84,8
85,9
86,8
87,9
88,8
89,8
90,8
91,9
92,9
93,8
94,9
95,9
96,8
97,9
98,8
99,8
100,9
101,8
102,9
103,8
104,10
105,8
106,9
107,9
108,8
109,8
110,8
111,8
112,9
113,8
114,9
115,10
116,8
117,9
118,8
119,8
120,10
121,9
122,8
123,8
124,9
125,8
126,8
127,9
128,8
129,9
130,10
131,8
132,9
133,7
134,9
135,8
136,9
137,8
138,9
139,8
140,8
141,9
142,8
143,7
144,8
145,8
146,8
147,8
148,9
149,9
150,9
151,9
152,8
153,9
154,9
155,9
156,9
157,10
158,9
159,9
160,8
161,9
162,9
163,8
164,8
165,8
166,8
167,8
168,9
169,9
170,9
171,8
172,8
173,10
174,9
175,9
176,9
177,8
178,8
179,8
180,8
181,9
182,8
183,8
184,9
185,9
186,10
187,8
188,8
189,8
190,8
191,8
192,8
193,8
194,9
195,9
196,8
197,8
198,8
199,8
200,9
