Generation,Number of Bins
1,95
2,14
3,11
4,12
5,11
6,10
7,12
8,12
9,12
10,11
11,12
12,11
13,11
14,10
15,12
16,12
17,12
18,11
19,11
20,12
21,12
22,11
23,12
24,11
25,12
26,11
27,10
28,12
29,11
30,12
31,12
32,12
33,12
34,12
35,10
36,11
37,11
38,11
39,11
40,12
41,10
42,11
43,11
44,11
45,11
46,12
47,12
48,11
49,11
50,12
51,11
52,11
53,11
54,12
55,11
56,10
57,12
58,11
59,12
60,11
61,12
62,11
63,11
64,11
65,12
66,10
67,12
68,11
69,11
70,10
71,11
72,12
73,12
74,12
75,11
76,11
77,12
78,12
79,11
80,12
81,12
82,12
83,10
84,12
85,12
86,12
87,12
88,11
89,12
90,10
91,10
92,11
93,12
94,11
95,11
96,12
97,11
98,11
99,11
100,10
101,12
102,11
103,11
104,11
105,12
106,12
107,11
108,11
109,11
110,12
111,11
112,10
113,12
114,12
115,11
116,11
117,12
118,12
119,12
120,11
121,11
122,11
123,12
124,11
125,12
126,11
127,11
128,12
129,11
130,11
131,11
132,10
133,11
134,12
135,11
136,11
137,12
138,11
139,11
140,11
141,12
142,12
143,10
144,11
145,12
146,12
147,11
148,11
149,10
150,10
151,11
152,11
153,12
154,11
155,10
156,10
157,12
158,12
159,11
160,12
161,11
162,11
163,11
164,12
165,10
166,12
167,11
168,12
169,12
170,11
171,10
172,11
173,11
174,12
175,12
176,10
177,12
178,11
179,12
180,12
181,11
182,11
183,12
184,11
185,12
186,12
187,10
188,10
189,11
190,12
191,12
192,11
193,12
194,12
195,11
196,12
197,12
198,12
199,10
200,11
201,11
202,11
203,10
204,11
205,11
206,10
207,11
208,12
209,12
210,12
211,11
212,11
213,12
214,10
215,12
216,12
217,12
218,12
219,12
220,11
221,11
222,11
223,11
224,11
225,11
226,11
227,11
228,12
229,12
230,11
231,11
232,11
233,11
234,10
235,12
236,11
237,10
238,12
239,12
240,11
241,11
242,11
243,11
244,11
245,11
246,12
247,10
248,11
249,10
250,10
251,10
252,12
253,12
254,11
255,10
256,12
257,11
258,11
259,10
260,12
261,12
262,11
263,11
264,11
265,10
266,10
267,12
268,11
269,12
270,11
271,12
272,11
273,12
274,12
275,11
276,12
277,12
278,12
279,12
280,11
281,11
282,12
283,10
284,10
285,12
286,12
287,10
288,11
289,12
290,11
291,11
292,12
293,12
294,11
295,11
296,12
297,11
298,12
299,12
300,11
